DATE ADDED TO CATALOG	PUBMEDID	FIRST AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE/TRAIT	INITIAL SAMPLE SIZE	REPLICATION SAMPLE SIZE	REGION	CHR_ID	CHR_POS	REPORTED GENE(S)	MAPPED_GENE	UPSTREAM_GENE_ID	DOWNSTREAM_GENE_ID	SNP_GENE_IDS	UPSTREAM_GENE_DISTANCE	DOWNSTREAM_GENE_DISTANCE	STRONGEST SNP-RISK ALLELE	SNPS	MERGED	SNP_ID_CURRENT	CONTEXT	INTERGENIC	RISK ALLELE FREQUENCY	P-VALUE	PVALUE_MLOG	P-VALUE (TEXT)	OR or BETA	95% CI (TEXT)	PLATFORM [SNPS PASSING QC]	CNV
2008-06-16	17934461	Broderick P	2007-10-14	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/17934461	A genome-wide association study shows that common alleles of SMAD7 influence colorectal cancer risk.	Colorectal cancer	930 European ancestry cases, 960 European ancestry controls	7,473 European ancestry cases, 5,984 European ancestry controls	18q21.1	18	48927093	SMAD7	SMAD7			4092			rs4939827-T	rs4939827	0	4939827	intron_variant	0	0.52	1E-12	12.0		1.16	[1.09-1.27]	Illumina [547647]	N
2010-12-09	20972440	Houlston RS	2010-10-24	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20972440	Meta-analysis of three genome-wide association studies identifies susceptibility loci for colorectal cancer at 1q41, 3q26.2, 12q13.13 and 20q13.33.	Colorectal cancer	3,334 European ancestry cases, 4,628 European ancestry controls	14,851 European ancestry cases, 15,569 European ancestry controls	1q41	1	221872104	DUSP10	LOC105372950			105372950			rs6691170-T	rs6691170	0	6691170	intergenic_variant	0	NR	1E-9	9.0		1.06	[1.03-1.09]	Illumina [up to 550000] (imputed)	N
2010-12-09	20972440	Houlston RS	2010-10-24	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20972440	Meta-analysis of three genome-wide association studies identifies susceptibility loci for colorectal cancer at 1q41, 3q26.2, 12q13.13 and 20q13.33.	Colorectal cancer	3,334 European ancestry cases, 4,628 European ancestry controls	14,851 European ancestry cases, 15,569 European ancestry controls	3q26.2	3	169774313	MYNN	MYNN			55892			rs10936599-C	rs10936599	0	10936599	synonymous_variant	0	NR	3E-8	7.522878745280337		1.04	[1.04-1.10]	Illumina [up to 550000] (imputed)	N
2010-12-09	20972440	Houlston RS	2010-10-24	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20972440	Meta-analysis of three genome-wide association studies identifies susceptibility loci for colorectal cancer at 1q41, 3q26.2, 12q13.13 and 20q13.33.	Colorectal cancer	3,334 European ancestry cases, 4,628 European ancestry controls	14,851 European ancestry cases, 15,569 European ancestry controls	20q13.33	20	62345988	LAMA5	LAMA5			3911			rs4925386-C	rs4925386	0	4925386	intron_variant	0	NR	2E-10	9.698970004336019		1.08	[1.05-1.10]	Illumina [up to 550000] (imputed)	N
2016-02-13	25990418	Al-Tassan NA	2015-05-20	Sci Rep	www.ncbi.nlm.nih.gov/pubmed/25990418	A new GWAS and meta-analysis with 1000Genomes imputation identifies novel risk variants for colorectal cancer.	Colorectal cancer	7,577 European ancestry cases, 9,979 European ancestry controls	NA	18q21.1	18	48927678	SMAD7	SMAD7			4092			rs7226855-A	rs7226855	0	7226855	intron_variant	0	0.55	4E-23	22.397940008672037		1.25	[NR]	Affymetrix, Illumina [~ 10000000] (imputed)	N
2016-02-13	25990418	Al-Tassan NA	2015-05-20	Sci Rep	www.ncbi.nlm.nih.gov/pubmed/25990418	A new GWAS and meta-analysis with 1000Genomes imputation identifies novel risk variants for colorectal cancer.	Colorectal cancer	7,577 European ancestry cases, 9,979 European ancestry controls	NA	20p12.3	20	6399697	BMP2	FGFR3P3 - CASC20	100462816	101929244		178952	27035	rs57046232-T	rs57046232	1	34033947	intergenic_variant	1	0.37	5E-7	6.301029995663981		1.11	[NR]	Affymetrix, Illumina [~ 10000000] (imputed)	N
2016-02-13	25990418	Al-Tassan NA	2015-05-20	Sci Rep	www.ncbi.nlm.nih.gov/pubmed/25990418	A new GWAS and meta-analysis with 1000Genomes imputation identifies novel risk variants for colorectal cancer.	Colorectal cancer	7,577 European ancestry cases, 9,979 European ancestry controls	NA	20p12.3	20	6709454	BMP2	CASC20 - LOC105372516	101929244	105372516		180995	21293	rs1015563-T	rs1015563	0	1015563	intergenic_variant	1	0.35	2E-6	5.698970004336019		1.12	[NR]	Affymetrix, Illumina [~ 10000000] (imputed)	N
2016-02-13	25990418	Al-Tassan NA	2015-05-20	Sci Rep	www.ncbi.nlm.nih.gov/pubmed/25990418	A new GWAS and meta-analysis with 1000Genomes imputation identifies novel risk variants for colorectal cancer.	Colorectal cancer	7,577 European ancestry cases, 9,979 European ancestry controls	NA	20q13.33	20	62394395	LAMA5	CABLES2			81928			rs2427308-C	rs2427308	0	2427308	intron_variant	0	0.78	3E-11	10.522878745280337		1.19	[NR]	Affymetrix, Illumina [~ 10000000] (imputed)	N
2016-02-13	25990418	Al-Tassan NA	2015-05-20	Sci Rep	www.ncbi.nlm.nih.gov/pubmed/25990418	A new GWAS and meta-analysis with 1000Genomes imputation identifies novel risk variants for colorectal cancer.	Colorectal cancer	7,577 European ancestry cases, 9,979 European ancestry controls	NA	1p36.12	1	22261235	WNT4, CDC42	LOC107985377 - MIR4418	107985377	100616433		3268	5004	rs72647484-?	rs72647484	0	72647484	intergenic_variant	1	0.91	1E-8	8.0		1.24	[1.15-1.33]	Affymetrix, Illumina [~ 10000000] (imputed)	N
2016-02-13	25990418	Al-Tassan NA	2015-05-20	Sci Rep	www.ncbi.nlm.nih.gov/pubmed/25990418	A new GWAS and meta-analysis with 1000Genomes imputation identifies novel risk variants for colorectal cancer.	Colorectal cancer	7,577 European ancestry cases, 9,979 European ancestry controls	NA	5q15	5	96794170	ERAP1	ERAP1			51752			rs202110856-?	rs202110856	0	202110856	intron_variant	0	0.99	7E-8	7.154901959985743		1.51	[1.23-1.86]	Affymetrix, Illumina [~ 10000000] (imputed)	N
